year,state,fpl_class,disability,total,mid_acs
2018,Montana,fpl_100200,3751,55726,6.731148835373076
2018,Nebraska,fpl_000100,3694,60110,6.145400099817002
2018,Nebraska,fpl_100200,3861,102967,3.749745063952528
2018,Nevada,fpl_000100,8862,120091,7.379403952003065
2018,Nevada,fpl_100200,7134,172440,4.137091162143354
2018,New Hampshire,fpl_000100,1922,26830,7.163622810286991
2018,New Hampshire,fpl_100200,2801,33689,8.314286562379412
2018,New Jersey,fpl_000100,14895,264253,5.636643671027387
2018,New Jersey,fpl_100200,10446,298600,3.4983255190890823
2018,New Mexico,fpl_000100,10359,124024,8.352415661484875
2018,New Mexico,fpl_100200,5197,120023,4.330003416011931
2018,New York,fpl_000100,48229,743024,6.490907426947177
2018,New York,fpl_100200,30576,794782,3.847092661887159
2018,North Carolina,fpl_000100,28820,455971,6.320577405141993
2018,North Carolina,fpl_100200,26796,533609,5.021654432365271
2018,North Dakota,fpl_000100,827,17145,4.823563721201516
2018,North Dakota,fpl_100200,1158,32434,3.570327434174015
2018,Ohio,fpl_000100,39374,495616,7.944456998966942
2018,Ohio,fpl_100200,34372,534914,6.425705814392595
2018,Oklahoma,fpl_000100,14731,202779,7.264558953343295
2018,Oklahoma,fpl_100200,11049,229320,4.818158032443747
2018,Oregon,fpl_000100,10019,134383,7.455556134332468
2018,Oregon,fpl_100200,8929,179828,4.96530017572347
2018,Pennsylvania,fpl_000100,43170,434736,9.93016451363586
2018,Pennsylvania,fpl_100200,35880,507661,7.067708569301168
2018,Rhode Island,fpl_000100,2540,36135,7.029196070291961
2018,Rhode Island,fpl_100200,1825,33754,5.406766605439355
2018,South Carolina,fpl_000100,15779,245821,6.418898304050508
2018,South Carolina,fpl_100200,11625,256724,4.528209283121173
2018,South Dakota,fpl_000100,2327,34201,6.803894622964241
2018,South Dakota,fpl_100200,999,46893,2.1303819333375986
2018,Tennessee,fpl_000100,24414,330998,7.3758753829328265
2018,Tennessee,fpl_100200,18061,356823,5.061613180764693
2018,Texas,fpl_000100,92832,1545362,6.007136192037852
2018,Texas,fpl_100200,77782,1754049,4.434425720148069
2018,United States,fpl_000100,854813,12997511,6.576743808872329
2018,United States,fpl_100200,759903,15503120,4.901613352667076
2018,Utah,fpl_000100,3327,87445,3.804677225684716
2018,Utah,fpl_100200,6602,195363,3.379350235203186
2018,Vermont,fpl_000100,2304,13712,16.802800466744458
2018,Vermont,fpl_100200,1604,19940,8.044132397191575
2018,Virginia,fpl_000100,17258,252475,6.835528270125756
2018,Virginia,fpl_100200,18508,318451,5.811883146857758
2018,Washington,fpl_000100,12969,204470,6.342739766224874
2018,Washington,fpl_100200,14425,308523,4.6755023126314725
2018,West Virginia,fpl_000100,6913,86713,7.972276359946029
2018,West Virginia,fpl_100200,5619,86705,6.480595121388616
2018,Wisconsin,fpl_000100,11768,175243,6.715246828689306
2018,Wisconsin,fpl_100200,13145,246919,5.3236081468011776
2018,Wyoming,fpl_000100,697,17986,3.8752362948960304
2018,Wyoming,fpl_100200,1361,25783,5.278671993173797
2019,Alabama,fpl_000100,9299,228412,4.071152128609705
2019,Alabama,fpl_100200,12180,259700,4.690026954177898
2019,Alaska,fpl_000100,1649,22921,7.194275991448889
2019,Alaska,fpl_100200,1270,33815,3.7557297057518855
2019,Arizona,fpl_000100,16614,308459,5.386129112783222
2019,Arizona,fpl_100200,19692,390878,5.03788906001361
2019,Arkansas,fpl_000100,13574,151448,8.962812318419523
2019,Arkansas,fpl_100200,11395,187130,6.0893496499759525
2019,California,fpl_000100,57939,1363574,4.249054323417725
2019,California,fpl_100200,74011,1869131,3.9596475581433297
2019,Colorado,fpl_000100,9047,135405,6.681437169971567
2019,Colorado,fpl_100200,11231,232888,4.822489780495346
2019,Connecticut,fpl_000100,7851,101233,7.755376211314492
2019,Connecticut,fpl_100200,7009,112426,6.234323021365165
2019,Delaware,fpl_000100,2907,32277,9.006413235430802
2019,Delaware,fpl_100200,1268,36867,3.4393902405945695
2019,Florida,fpl_000100,47029,737415,6.3775485988215586
2019,Florida,fpl_100200,53416,1049548,5.089428973234193
2019,Georgia,fpl_000100,23739,461456,5.144369127284075
2019,Georgia,fpl_100200,29111,591258,4.923569744510856
2019,Hawaii,fpl_000100,2354,36461,6.45621348838485
2019,Hawaii,fpl_100200,2120,42426,4.996935841229435
2019,Idaho,fpl_000100,4013,58188,6.896610985082835
2019,Idaho,fpl_100200,6034,121392,4.970673520495585
2019,Illinois,fpl_000100,25387,436327,5.818342665019584
2019,Illinois,fpl_100200,23627,539736,4.377510486608268
2019,Indiana,fpl_000100,16239,230725,7.038248997724564
2019,Indiana,fpl_100200,20352,356962,5.7014472128685965
2019,Iowa,fpl_000100,5609,92018,6.095546523506271
2019,Iowa,fpl_100200,6943,155431,4.466933880628703
2019,Kansas,fpl_000100,8401,101094,8.310087641205214
2019,Kansas,fpl_100200,8452,146003,5.788922145435368
2019,Kentucky,fpl_000100,19675,212130,9.274972893980106
2019,Kentucky,fpl_100200,15611,209793,7.441144366113265
2019,Louisiana,fpl_000100,25716,288732,8.906529238186277
2019,Louisiana,fpl_100200,9195,212493,4.327201366633253
2019,Maine,fpl_000100,3035,32746,9.268307579551701
2019,Maine,fpl_100200,4279,48179,8.881462878017393
2019,Maryland,fpl_000100,11567,156992,7.367891357521403
2019,Maryland,fpl_100200,9804,212824,4.60662331316017
2019,Massachusetts,fpl_000100,13889,154457,8.992146681600705
2019,Massachusetts,fpl_100200,12560,188324,6.669357065482891
2019,Michigan,fpl_000100,28040,371020,7.557544067705245
2019,Michigan,fpl_100200,26514,450835,5.881087315758537
2019,Minnesota,fpl_000100,11294,143006,7.8975707312979875
2019,Minnesota,fpl_100200,8535,208552,4.09250450726917
2019,Mississippi,fpl_000100,12432,192413,6.461101900599233
2019,Mississippi,fpl_100200,10570,165319,6.393699453783292
2019,Missouri,fpl_000100,15452,229336,6.737712352181951
2019,Missouri,fpl_100200,16950,297013,5.706820913562706
2019,Montana,fpl_000100,2370,32888,7.206275845293115
2019,Montana,fpl_100200,1598,45535,3.5093883825628636
2019,Nebraska,fpl_000100,1861,51085,3.6429480277968094
2019,Nebraska,fpl_100200,5896,106299,5.546618500644409
2019,Nevada,fpl_000100,5993,114886,5.2164754626325225
2019,Nevada,fpl_100200,7497,163131,4.595693031980433
2019,New Hampshire,fpl_000100,1710,17609,9.710943267647226
2019,New Hampshire,fpl_100200,2924,35410,8.257554363174245
2019,New Jersey,fpl_000100,14075,235470,5.9774068883509575
2019,New Jersey,fpl_100200,19105,315749,6.050692163712315
2019,New Mexico,fpl_000100,8444,115997,7.279498607722614
2019,New Mexico,fpl_100200,6736,121307,5.552853503919806
2019,New York,fpl_000100,46185,711686,6.48951925427787
2019,New York,fpl_100200,34466,726213,4.745990501409366
2019,North Carolina,fpl_000100,26553,440230,6.031619835086205
2019,North Carolina,fpl_100200,28292,509020,5.5581313111469095
2019,North Dakota,fpl_000100,1344,17823,7.54081804410032
2019,North Dakota,fpl_100200,814,31995,2.5441475230504764
2019,Ohio,fpl_000100,35613,466168,7.639520516208749
2019,Ohio,fpl_100200,37214,543380,6.848614229452685
2019,Oklahoma,fpl_000100,12065,186392,6.472917292587664
2019,Oklahoma,fpl_100200,13112,239358,5.477986948420358
2019,Oregon,fpl_000100,10733,110323,9.72870570959818
2019,Oregon,fpl_100200,12709,170416,7.4576330860952025
2019,Pennsylvania,fpl_000100,41852,434904,9.62327318212755
